Johnson Su[F1],Johnson Sb[F2],Johnson Sb[F3],Johnson Su[F4]
-4.075645125,-3.088014874,-5.592271746,-3.052446881
-4.012938913,-3.253931471,-5.548595247,-3.055811615
-4.154640091,-3.520796849,-5.614550867,-3.0135307
-5.00199347,,-5.945259378,-3.208673464
-3.857546085,-2.947020607,-5.48578257,-2.979505883
-3.586226502,-3.311939388,-5.297653687,-3.008846853
-3.662119746,,-5.321264579,-3.090901415
-4.405850413,,-5.644663419,-3.200529771
-3.550003504,,-5.260027544,-3.001003013
-3.94916317,,-5.484830015,-2.859485724
-4.335876239,,-5.644020152,-2.978277585
-4.965085485,,-5.888789965,-3.027178543
-3.248376459,-1.810658129,-5.230745908,-2.721888744
-4.708174514,-3.940910724,-5.833687977,-3.165320649
-4.215671411,-2.475441421,-5.631135979,-2.882417045
-4.436954478,-5.43280184,-5.6907405,-3.157813496
-3.925946417,-2.284401324,-5.477430804,-2.852251408
-3.625758342,-2.365427115,-5.345453145,-3.016411723
-2.839557744,-1.769527106,-4.897692178,-2.365395514
-3.178211189,-1.736144146,-5.215483095,-2.585669118
-2.723740824,-1.728042279,-4.864492652,-2.083299018
-5.241652946,-5.235349773,-6.069502586,-3.023534604
-8.590849909,,-6.699960034,-3.395438096
-17.90863126,,-7.053415858,-3.447815737
-7.442431227,,-6.536567501,-3.368040309
-5.69269914,,-6.212919399,-3.237482788
-4.948396874,,-5.962729557,-2.991721022
-7.249021351,,-6.494293955,-3.368427556
-6.967279473,,-6.535309974,-3.300721622
-5.723749036,-2.580076976,-6.283293181,-3.163956148
-4.150015942,-1.946972908,-5.779168616,-2.590861401
-7.617474455,,-6.629343808,-3.330210696
-7.480844647,,-6.594259675,-3.29340249
-6.567434543,,-6.361673823,-3.162957916
-3.800136224,-2.025316478,-5.561061733,-2.553126079
-4.092958995,-2.465833617,-5.645092323,-2.705294243
-3.239669509,-2.005797149,-5.237595883,-2.416847206
-4.009013572,-2.766821761,-5.590990525,-2.772673534
-3.630309174,-2.423728744,-5.348574357,-2.981039471
-3.25884307,-2.258866399,-5.137174157,-2.952150618
-4.157439631,,-5.497633294,-3.248997212
-4.702172888,,-5.728333922,-3.353351024
-4.558457373,,-5.644326862,-3.387977435
-3.807566052,-2.233379376,-5.50486893,-2.937986028
-3.68570934,-2.7865186,-5.3076345,-3.16465613
-4.506563498,,-5.632759575,-3.30479651
-3.384309256,-2.578662063,-5.10749831,-3.153167216
-3.120076269,-2.23414316,-4.96942232,-3.10663724
-2.127215466,-1.333852063,-4.353534064,-2.764207342
-2.893261256,-1.727827517,-4.840771072,-3.071792869
-1.92177416,-1.334490681,-4.190289464,-2.577506341
-2.645299144,-1.663724434,-4.67980357,-2.996673537
-2.930412235,-1.824336294,-4.86679585,-3.117072236
-3.564773815,-2.135221177,-5.363564117,-2.911669607
-3.552878,-2.477470016,-5.302268422,-3.041129371
-3.154096828,-2.170361281,-5.037588463,-2.990160263
-2.746727226,-1.756326734,-4.777220772,-2.881498026
-2.66006003,-1.658108099,-4.723553977,-2.889701122
-2.371082739,-1.666980255,-4.518513472,-2.750793301
-2.372070756,-1.485867549,-4.524787076,-2.809334851
-2.650669718,-1.719549489,-4.704407668,-2.898440922
-2.357824727,-1.556845163,-4.504007049,-2.820573976
-2.356879214,-1.683728247,-4.475894504,-2.916310216
-3.227388164,-1.904151599,-5.046963866,-3.127351633
-3.612553057,-2.133827827,-5.245489423,-3.230270025
-2.544678606,-1.68966104,-4.592313263,-2.971458441
-2.627629383,-1.690776216,-4.661777335,-2.976945536
-2.350293474,-1.507087434,-4.503495922,-2.82744647
-2.962820131,-1.773329069,-4.885770667,-3.107152005
-3.313583272,-1.971100853,-5.049248882,-3.185459154
-1.81166338,-0.968478189,-4.133913826,-2.549878882
-1.946409792,-1.24422719,-4.241653719,-2.47110321
-2.792744679,-1.551477338,-4.799477263,-2.996935785
-2.19171927,-1.336952917,-4.39678814,-2.735346787
-2.407456361,-1.34140084,-4.559848929,-2.808983195
-2.403058122,-1.405827028,-4.552121639,-2.871489317
-2.17537491,-1.249360898,-4.383559075,-2.701829029
-2.029686344,-1.232731498,-4.288245355,-2.674875629
-2.395207138,-1.361271536,-4.543846339,-2.896176911
-2.375562956,-1.197549245,-4.544195097,-2.82802418
-2.430170106,-1.138202242,-4.625081958,-2.840601362
-2.094457318,-1.237560993,-4.329148267,-2.736994931
-2.003931475,-1.265320324,-4.259751567,-2.69076502
-1.988802803,-1.143700096,-4.236868864,-2.748953435
-1.902324859,-0.905496468,-4.247135843,-2.624026158
-3.00482624,-1.664553809,-5.063019263,-2.774167493
-3.727235223,-2.151303926,-5.39833263,-2.994856526
-3.58200091,-2.141406072,-5.314928892,-3.037264579
-3.50694912,-2.120215444,-5.267739501,-3.060754839
-3.26560358,-1.915608668,-5.13422117,-2.974821377
-2.910704919,-1.796859219,-4.902589164,-2.889007628
-2.220557392,-1.367777714,-4.442906593,-2.671281024
-3.308354156,-2.003333711,-5.090084733,-3.138167582
-2.291368012,-1.356717335,-4.490586807,-2.705294243
-2.415785832,-1.53554377,-4.578100795,-2.725478162
-2.129012486,-1.241942265,-4.3788437,-2.622224577
-3.282989315,-2.026561861,-5.092790904,-3.143676063
-3.392279368,-1.951061612,-5.144079411,-3.168463322
-2.960036186,-1.844849808,-4.912064238,-3.022518252
-2.516670353,-1.659650894,-4.59799264,-2.866152287
-3.330841535,-1.884982712,-5.107237512,-3.173109255
-2.871128664,-1.593935966,-4.844169181,-3.057154811
-2.511306542,-1.604988099,-4.596190825,-2.902586675
-2.567001994,-1.533006291,-4.654860448,-2.918527171
-2.165776182,-1.303119733,-4.386296751,-2.736709984
-2.544708936,-1.545820414,-4.624710101,-2.945825239
-2.749734125,-1.626415898,-4.734427408,-2.991244928
-1.94133338,-1.290022764,-4.194793752,-2.636468439
-2.318512597,-1.428625632,-4.475274624,-2.818713467
-2.885191023,-1.495954372,-4.850794848,-3.100700977
-2.619291474,-1.532521958,-4.66341127,-2.967125228
-2.756634936,-1.241489777,-4.802607582,-3.053601575
-2.665431127,-1.543918606,-4.676288449,-3.098666136
-1.841083898,-0.78791645,-4.22736978,-2.545434763
-2.177148419,-1.111867567,-4.469144211,-2.451466278
-1.941624922,-1.092901251,-4.274968575,-2.273948997
-1.986967243,-1.083423441,-4.311806425,-2.346948083
-2.214962309,-1.241071473,-4.418738858,-2.743012265
-1.931856215,-1.036142993,-4.238660061,-2.579821591
-1.87975812,-1.05620791,-4.183449227,-2.505907289
-1.772010801,-1.013477098,-4.127488599,-2.348130468
-2.443408675,-1.148781086,-4.602153077,-2.799167457
-1.916741047,-1.052873526,-4.223924036,-2.613953477
-1.693800447,-0.968347668,-4.054782838,-2.3263754
-1.886979574,-1.087838153,-4.185843827,-2.648142212
-2.310128295,-1.093420528,-4.544286507,-2.753572489
-2.086105869,-1.058762717,-4.352782212,-2.669122274
-1.781807089,-0.956107887,-4.137654449,-2.393601598
-2.574603405,-1.23947435,-4.675418242,-2.968612674
-1.807193957,-0.945696944,-4.145517478,-2.530192358
-2.501992476,-1.143093175,-4.625384565,-2.979465026
-1.116287961,-0.575033778,-3.665711587,-1.552780842
-2.639028382,-1.201455688,-4.721564579,-3.00451552
-2.262277925,-1.033559294,-4.484075669,-2.793247083
-2.374593076,-1.155523696,-4.671962686,-2.275840828
-2.864771927,-1.578038618,-4.945215772,-2.748511504
-3.294221685,-1.516620452,-5.234378576,-2.824750447
-2.756446811,-1.330269469,-4.898276824,-2.576951365
-2.962690873,-1.268781847,-5.046553272,-2.662547173
-2.721536759,-1.498737884,-4.846485882,-2.693286723
-2.978622616,-1.377146531,-5.013440082,-2.789527165
-2.420314017,-1.391498174,-4.650596062,-2.547474538
-2.54056226,-1.297744206,-4.717043948,-2.694858822
-2.667404005,-1.295991671,-4.80954019,-2.681431643
-2.470599082,-1.385808454,-4.664999398,-2.634548944
-2.705500275,-1.492328338,-4.805507899,-2.827608186
-2.715684894,-1.267795005,-4.830154184,-2.793484387
-2.702731008,-1.204178494,-4.842792708,-2.657569656
-2.539878914,-1.34200073,-4.716813569,-2.660636728
-2.267548939,-1.112632183,-4.541329683,-2.474874272
