F1,F2,F3,F4
3.8312,0.2316,3.3932,0.3322
3.8312,0.231,3.3931,0.3333
3.8309,0.2307,3.3931,0.3333
3.8302,0.2304,3.3986,0.3397
3.8311,0.2304,3.3983,0.3399
3.8306,0.231,3.3985,0.3402
3.8303,0.2307,3.3979,0.3402
3.8328,0.2309,3.3957,0.3311
3.8325,0.2307,3.3957,0.3306
3.8322,0.2307,3.3951,0.3311
3.8335,0.2234,3.4046,0.3262
3.8341,0.224,3.3985,0.3198
3.8341,0.2237,3.3991,0.3198
3.8338,0.2237,3.3988,0.3196
3.8345,0.231,3.3903,0.3245
3.836,0.2309,3.3903,0.3245
3.8354,0.2313,3.3902,0.325
3.8354,0.231,3.3903,0.3245
3.8345,0.2307,3.3899,0.3252
3.8348,0.2313,3.3889,0.3246
3.836,0.2312,3.39,0.3247
3.8346,0.2237,3.3886,0.3243
3.8343,0.2231,3.3888,0.3251
3.834,0.2234,3.3882,0.3251
3.8364,0.2313,3.3974,0.3316
3.8364,0.231,3.3905,0.3248
3.8355,0.2313,3.3906,0.3242
3.8355,0.2316,3.3909,0.3259
3.8361,0.231,3.3897,0.3263
3.8367,0.2306,3.3907,0.3256
3.8358,0.231,3.3964,0.3323
3.8283,0.2397,3.3907,0.3251
3.8289,0.2396,3.391,0.3253
3.8283,0.2394,3.3977,0.3313
3.83,0.2316,3.3907,0.3254
3.8312,0.2315,3.3907,0.3254
3.8315,0.2315,3.3918,0.3255
3.8337,0.2323,3.3935,0.3257
3.8401,0.2316,3.3993,0.3324
3.8404,0.2316,3.3994,0.3332
3.8409,0.231,3.3992,0.3329
3.8419,0.2312,3.399,0.3326
3.8412,0.2306,3.3992,0.3329
3.8486,0.2305,3.3988,0.3337
3.8494,0.2313,3.3961,0.3255
3.8494,0.231,3.3957,0.3262
3.8494,0.2307,3.4015,0.333
3.8491,0.2307,3.3954,0.3265
3.8494,0.2304,3.4013,0.3327
3.8494,0.2307,3.4011,0.3337
3.8491,0.2304,3.4013,0.3327
3.8497,0.2301,3.4078,0.3384
3.8494,0.2307,3.408,0.3387
3.8497,0.2307,3.4068,0.3392
3.8494,0.2304,3.4077,0.339
3.8488,0.2236,3.4042,0.3325
3.8494,0.2236,3.4035,0.333
3.849,0.2227,3.4037,0.3319
3.8488,0.2233,3.4041,0.333
3.8491,0.2233,3.4104,0.3264
3.8488,0.2236,3.4108,0.3261
3.8488,0.2233,3.4024,0.3329
3.8476,0.2234,3.4035,0.3335
3.8482,0.224,3.4035,0.333
3.8485,0.2239,3.4035,0.3335
3.8451,0.2305,3.4125,0.3263
3.8445,0.2308,3.4049,0.3321
3.8445,0.2314,3.4118,0.3254
3.8439,0.2309,3.4043,0.332
3.8442,0.2315,3.4117,0.326
3.8442,0.2312,3.4042,0.3326
