Johnson Su[F1],Johnson Sb[F2],Johnson Sb[F3],Johnson Su[F4]
-0.281760232,-1.033386072,-2.643882125,-0.50785968
-0.981001633,-1.15818254,-3.486124037,-0.731029181
-0.197717999,-0.90057921,-2.5757886,-0.242528979
-0.212747166,-0.917793843,-2.573004635,-0.263585598
-0.056661965,-0.70209658,-2.399695292,-0.109897866
0.2579922525,-0.56033479,-2.043996368,0.1414983613
0.4890068787,-0.393501215,-1.734809235,0.2393589216
0.7504649682,-0.232360146,-1.397516181,0.5134460128
0.2743344192,-0.706484542,-2.013253342,0.1931817792
0.3255847892,-0.7637958,-1.945196445,0.2694626089
0.4694787575,-0.614546934,-1.77525417,0.4065704916
-0.013912663,-0.721839495,-2.350199257,-0.160667362
0.3532278033,-0.618273628,-1.90023302,0.2314237264
0.281481911,-0.750163896,-1.975084188,0.1796852481
-0.36323189,-0.930666868,-2.721324953,-0.610163885
-0.525593933,-0.952585109,-2.91072928,-0.853376972
0.5881365035,-0.553927737,-1.573131757,0.416642819
0.33031973,-0.563211656,-1.936815269,0.1799291225
0.9996191517,-0.28760708,-1.06134055,0.7095919212
-0.382930831,-0.912987624,-2.749420644,-0.712234521
0.4646281142,-0.473695443,-1.761978223,0.3335457114
0.4323050994,-0.485283633,-1.800001474,0.2301264649
0.6607833448,-0.381526584,-1.517567504,0.4200264447
0.0326436174,-0.767980897,-2.267353063,-0.253620564
0.0727431997,-0.731393479,-2.222612553,-0.100920629
-0.160593198,-0.746468528,-2.49152718,-0.460272842
0.5268123644,-0.449905863,-1.665226613,0.2842874293
-0.264773567,-0.748596412,-2.622242916,-0.556890977
0.0678573187,-0.683713982,-2.201704917,-0.237944217
-0.20301294,-0.672524059,-2.551643735,-0.615342692
0.0359354561,-0.510549252,-2.302128343,-0.257852622
-0.745082666,-1.103659623,-3.226019026,-0.580842891
-0.053300298,-0.87926036,-2.446601694,0.0465527389
0.117823596,-0.830676525,-2.222095985,0.1321925357
-0.254062989,-0.923082276,-2.667023569,-0.289618491
-0.354651261,-0.941506692,-2.759878412,-0.484470554
-0.419996499,-0.92777402,-2.831725473,-0.541718806
0.2837871365,-0.728778834,-2.00106129,0.2522316884
0.0809692042,-0.809827909,-2.230942992,0.0009436481
0.3270701248,-0.752450547,-1.914698289,0.1829549962
-0.189702442,-0.933881804,-2.525015547,-0.40740143
-0.46462173,-0.994976628,-2.842397442,-0.785186232
-0.358037553,-0.958433201,-2.727899741,-0.562985015
0.7290518612,-0.402216526,-1.424126533,0.4836325919
-0.471574691,-1.032271433,-2.827392519,-0.851563812
-0.497070209,-1.012919631,-2.858352356,-0.902095509
-0.178341395,-0.751929972,-2.531416214,-0.414420169
